id,menu_cat_id,combo_id,combo_qty,combo_item_id,combo_item_name,combo_item_code,combo_item_qty,update_qty,unit_price,top_up,old_unit_price,is_default,is_delete,brand_id
324,4,999065,2,999065411,"B18 Mango Smoothie",B18,2,0,5.20,0.00,5.20,0,1,1
324,15,999022,0,999022380,"ADD014 Black Pearl",ADD014,0,0,1.00,1.00,0.00,0,0,2
324,27,999008,1,999008004,"BT17 Teh Halia COLD",BT17,1,0,0.00,0.00,0.00,0,0,9
325,4,999065,2,999065133,"B21 Blue Butterfly Pea",B21,2,0,5.20,0.00,5.20,0,0,1
325,15,999022,0,999022319,"ADD015 Grass Jelly",ADD015,0,0,1.00,1.00,0.00,0,0,2
325,27,999008,1,999008058,"BT18 Teh O Kosong HOT",BT18,1,0,0.00,0.00,0.00,0,0,9
326,4,999065,2,999065535,"B29 Roselle Tea",B29,2,0,5.20,0.00,5.20,0,0,1
326,15,999022,0,999022131,"ADD04 ADD Milk Cotta",ADD04,0,0,1.00,1.00,0.00,0,0,2
326,27,999008,1,999008059,"BT19 Teh O Kosong COLD",BT19,1,0,0.00,0.00,0.00,0,0,9
327,1,999059,6,999059524,"Y04 Kuey Chap Chicken Rice Noodle",Y04,6,0,1.77,0.00,1.77,0,1,1
327,15,999022,0,999022132,"ADD05 ADD Mango Cotta",ADD05,0,0,1.00,1.00,0.00,0,0,2
327,27,999008,1,999008061,"BT20 Teh C Kosong HOT",BT20,1,0,0.00,0.00,0.00,0,0,9
328,1,999059,6,999059525,"Y05 Kuey Chap Chicken Springy Noodle",Y05,6,0,1.77,0.00,1.77,0,1,1
328,15,999022,0,999022133,"ADD06 ADD Coffee Jelly",ADD06,0,0,1.00,1.00,0.00,0,0,2
328,27,999008,1,999008091,"BT21 Teh C Kosong COLD",BT21,1,0,0.00,0.00,0.00,0,0,9
329,1,999059,6,999059526,"Y06 Kuey Chap Beef Rice Noodle",Y06,6,0,1.77,0.00,1.77,0,1,1
329,15,999022,0,999022135,"ADD08 ADD Oreo Crumb",ADD08,0,0,1.00,1.00,0.00,0,0,2
329,27,999008,1,999008054,"BT22 Teh O Limau Kosong HOT",BT22,1,0,0.00,0.00,0.00,0,0,9
330,1,999059,6,999059530,"Y07 Kuey Chap Beef Springy Noodle",Y07,6,0,1.77,0.00,1.77,0,1,1
330,15,999022,0,999022316,"ADD01 Whipped Cream",ADD01,0,0,1.00,1.00,0.00,0,0,2
330,27,999008,1,999008055,"BT23 Teh O Limau Kosong COLD",BT23,1,0,0.00,0.00,0.00,0,0,9
331,2,999066,1,999066063,"R02 Kra Pow Chicken Rice",R02,1,0,11.09,0.00,11.09,0,0,1
331,15,999022,0,999022130,"ADD03 ADD Salted Caramel Shot",ADD03,0,0,1.00,1.00,0.00,0,0,2
331,27,999008,1,999008005,"BT24 Teh O Limau HOT",BT24,1,0,0.00,0.00,0.00,0,0,9
332,14,999066,1,999066048,"F08 Thai Popeye's Tempura",F08,1,0,6.50,0.00,6.50,0,0,1
332,15,999022,0,999022129,"ADD02 ADD Espresso Shot",ADD02,0,0,1.00,1.00,0.00,0,0,2
332,27,999008,1,999008006,"BT25 Teh O Limau COLD",BT25,1,0,0.00,0.00,0.00,0,0,9
333,15,999066,1,999066052,"F12 Sangkaya Steamed Bread",F12,1,0,6.50,0.00,6.50,0,0,1
333,55,999023,1,999023387,Small,SSS01,1,0,8.90,0.00,0.00,0,0,2
333,12,999009,1,999009020,"M1 Banana Leaf Set",M1,1,0,10.05,0.00,0.00,0,0,9
334,1,999066,6,999066056,"N03 P. Chick Thai Rice Noodle",N03,6,0,1.73,0.00,1.73,0,0,1
334,55,999023,1,999023388,Regular,SSS02,1,0,9.90,1.00,0.00,0,0,2
334,14,999009,1,999009030,"S1 Chicken Masala",S1,1,0,5.85,0.00,0.00,0,0,9
335,1,999066,6,999066095,"N15 T. Chick Thai Rice Noodle",N15,6,0,1.73,0.00,1.73,0,0,1
335,55,999023,1,999023389,Premium,SSS03,1,0,10.90,2.00,0.00,0,0,2
335,14,999009,1,999009085,"F2 Chicken 65",F2,1,0,5.85,0.00,0.00,0,0,9
336,2,999067,1,999067083,"R07 Kaw Pad Super",R07,1,0,11.65,0.00,11.65,0,0,1
336,15,999023,0,999023381,"ADD013 Red Bean",ADD013,0,0,1.00,1.00,0.00,0,0,2
336,12,999010,2,999010020,"M1 Banana Leaf Set",M1,2,0,7.87,0.00,0.00,0,0,9
337,3,999067,1,999067053,"F13 Ayam Legend",F13,1,0,11.36,0.00,11.36,0,0,1
337,15,999023,0,999023380,"ADD014 Black Pearl",ADD014,0,0,1.00,1.00,0.00,0,0,2
